Match_ID,Nombre_Eq1,Nombre_Eq2,Gol_Match_Eq1,Gol_Match_Eq2,GANADOR,Gls90_Eq1,Ast90_Eq1,G+A90_Eq1,G-PK90_Eq1,G+A-PK90_Eq1,SCA90_Eq1,GCA90_Eq1,Sh90_Eq1,SoT90_Eq1,SoT%_Eq1,G/Sh_Eq1,G/SoT_Eq1,GA90_Eq1,Save%_Eq1,SoTA90_Eq1,Gls90_Eq2,Ast90_Eq2,G+A90_Eq2,G-PK90_Eq2,G+A-PK90_Eq2,SCA90_Eq2,GCA90_Eq2,Sh90_Eq2,SoT90_Eq2,SoT%_Eq2,G/Sh_Eq2,G/SoT_Eq2,GA90_Eq2,Save%_Eq2,SoTA90_Eq2,Year
147,fr Lens,eng Arsenal,2,1,fr Lens,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,5.33,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,2.77,2024
148,dk FC Copenhagen,de Bayern Munich,1,2,de Bayern Munich,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75,2024
149,it Inter,pt Benfica,1,0,it Inter,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,4.1,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,5.67,2024
150,be Antwerp,ua Shakhtar,2,3,ua Shakhtar,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,6.0,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,6.17,2024
151,es Atlético Madrid,nl Feyenoord,3,2,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,4.34,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,3.5,2024
152,sct Celtic,it Lazio,1,2,it Lazio,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,6.33,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88,2024
153,pt Porto,es Barcelona,0,1,es Barcelona,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,3.37,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,3.25,2024
154,eng Newcastle Utd,fr Paris S-G,4,1,eng Newcastle Utd,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,5.83,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5,2024
155,rs Red Star,ch Young Boys,2,2,empate,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,7.5,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,7.33,2024
156,de Dortmund,it Milan,0,0,empate,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,4.13,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,4.5,2024
157,de RB Leipzig,eng Manchester City,1,3,eng Manchester City,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38,2024
158,it Inter,at RB Salzburg,2,1,it Inter,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,4.1,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,5.5,2024
159,tr Galatasaray,de Bayern Munich,1,3,de Bayern Munich,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,4.17,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75,2024
160,eng Manchester Utd,dk FC Copenhagen,1,0,eng Manchester Utd,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,5.83,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5,2024
161,pt Braga,es Real Madrid,1,2,es Real Madrid,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,5.33,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,4.34,2024
162,pt Benfica,es Real Sociedad,0,1,es Real Sociedad,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,5.67,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,3.13,2024
163,fr Lens,nl PSV Eindhoven,1,1,empate,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,5.33,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,4.25,2024
164,de Union Berlin,it Napoli,0,1,it Napoli,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,4.83,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,5.63,2024
165,es Sevilla,eng Arsenal,1,2,eng Arsenal,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,4.5,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,2.77,2024
166,nl Feyenoord,it Lazio,3,1,nl Feyenoord,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,3.5,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88,2024
167,es Barcelona,ua Shakhtar,2,1,es Barcelona,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,3.25,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,6.17,2024
168,eng Newcastle Utd,de Dortmund,0,1,de Dortmund,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,5.83,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,4.13,2024
169,sct Celtic,es Atlético Madrid,2,2,empate,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,6.33,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,4.34,2024
170,be Antwerp,pt Porto,1,4,pt Porto,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,6.0,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,3.37,2024
171,ch Young Boys,eng Manchester City,1,3,eng Manchester City,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,7.33,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38,2024
172,fr Paris S-G,it Milan,3,0,fr Paris S-G,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,4.5,2024
173,de RB Leipzig,rs Red Star,3,1,de RB Leipzig,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,7.5,2024
174,de Dortmund,eng Newcastle Utd,2,0,de Dortmund,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,4.13,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,5.83,2024
175,ua Shakhtar,es Barcelona,1,0,ua Shakhtar,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,6.17,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,3.25,2024
176,pt Porto,be Antwerp,2,0,pt Porto,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,3.37,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,6.0,2024
177,eng Manchester City,ch Young Boys,3,0,eng Manchester City,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,7.33,2024
178,es Atlético Madrid,sct Celtic,6,0,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,4.34,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,6.33,2024
179,rs Red Star,de RB Leipzig,1,2,de RB Leipzig,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,7.5,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75,2024
180,it Lazio,nl Feyenoord,1,0,it Lazio,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,3.5,2024
181,it Milan,fr Paris S-G,2,1,it Milan,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,4.5,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5,2024
182,it Napoli,de Union Berlin,1,1,empate,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,5.63,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,4.83,2024
183,es Real Sociedad,pt Benfica,3,1,es Real Sociedad,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,3.13,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,5.67,2024
184,eng Arsenal,es Sevilla,2,0,eng Arsenal,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,2.77,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,4.5,2024
185,es Real Madrid,pt Braga,3,0,es Real Madrid,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,4.34,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,5.33,2024
186,at RB Salzburg,it Inter,0,1,it Inter,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,5.5,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,4.1,2024
187,nl PSV Eindhoven,fr Lens,1,0,nl PSV Eindhoven,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,4.25,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,5.33,2024
188,de Bayern Munich,tr Galatasaray,2,1,de Bayern Munich,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,4.17,2024
189,dk FC Copenhagen,eng Manchester Utd,4,3,dk FC Copenhagen,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,5.83,2024
190,it Lazio,sct Celtic,2,0,it Lazio,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,6.33,2024
191,ua Shakhtar,be Antwerp,1,0,ua Shakhtar,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,6.17,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,6.0,2024
192,eng Manchester City,de RB Leipzig,3,2,eng Manchester City,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75,2024
193,it Milan,de Dortmund,1,3,de Dortmund,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,4.5,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,4.13,2024
194,fr Paris S-G,eng Newcastle Utd,1,1,empate,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,5.83,2024
195,ch Young Boys,rs Red Star,2,0,ch Young Boys,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,7.33,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,7.5,2024
196,es Barcelona,pt Porto,2,1,es Barcelona,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,3.25,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,3.37,2024
197,nl Feyenoord,es Atlético Madrid,1,3,es Atlético Madrid,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,3.5,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,4.34,2024
198,es Sevilla,nl PSV Eindhoven,2,3,nl PSV Eindhoven,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,4.5,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,4.25,2024
199,pt Benfica,it Inter,3,3,empate,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,5.67,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,4.1,2024
200,eng Arsenal,fr Lens,6,0,eng Arsenal,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,2.77,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,5.33,2024
201,pt Braga,de Union Berlin,1,1,empate,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,5.33,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,4.83,2024
202,tr Galatasaray,eng Manchester Utd,3,3,empate,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,4.17,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,5.83,2024
203,es Real Madrid,it Napoli,4,2,es Real Madrid,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,4.34,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,5.63,2024
204,de Bayern Munich,dk FC Copenhagen,0,0,empate,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5,2024
205,es Real Sociedad,at RB Salzburg,0,0,empate,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,3.13,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,5.5,2024
206,fr Lens,es Sevilla,2,1,fr Lens,1.0,0.67,1.67,0.83,1.5,18.17,2.0,9.83,2.5,0.25,0.08,0.33,1.83,0.72,5.33,1.17,1.0,2.17,1.0,2.0,15.33,2.33,8.67,2.83,0.33,0.12,0.35,2.0,0.63,4.5,2024
207,nl PSV Eindhoven,eng Arsenal,1,1,empate,1.14,0.71,1.86,0.86,1.57,28.43,2.14,15.29,5.0,0.33,0.06,0.17,1.57,0.59,4.25,2.29,1.86,4.14,2.14,4.0,22.0,3.86,12.29,4.43,0.36,0.17,0.48,0.71,0.75,2.77,2024
208,eng Manchester Utd,de Bayern Munich,0,1,de Bayern Munich,2.0,1.5,3.5,1.83,3.33,20.33,3.33,11.67,4.33,0.37,0.16,0.42,2.5,0.63,5.83,1.87,1.5,3.38,1.75,3.25,27.87,3.12,15.37,4.37,0.28,0.11,0.4,0.87,0.77,2.75,2024
209,it Inter,es Real Sociedad,0,0,empate,1.29,0.71,2.0,0.86,1.57,25.86,2.0,14.43,4.14,0.29,0.06,0.21,0.71,0.8,4.1,1.0,0.62,1.62,1.0,1.62,23.37,1.5,13.25,4.25,0.32,0.08,0.24,0.75,0.76,3.13,2024
210,at RB Salzburg,pt Benfica,1,3,pt Benfica,0.67,0.5,1.17,0.5,1.0,20.83,1.17,11.83,3.67,0.31,0.04,0.14,1.33,0.82,5.5,1.17,0.67,1.83,1.17,1.83,20.67,2.17,11.83,4.5,0.38,0.1,0.26,1.83,0.73,5.67,2024
211,it Napoli,pt Braga,2,0,it Napoli,1.29,0.57,1.86,1.14,1.71,24.86,2.29,13.43,4.0,0.3,0.09,0.29,1.43,0.71,5.63,1.0,1.0,2.0,1.0,2.0,26.67,1.83,14.83,3.33,0.23,0.07,0.3,2.0,0.62,5.33,2024
212,dk FC Copenhagen,tr Galatasaray,1,0,dk FC Copenhagen,1.25,0.75,2.0,1.13,1.87,18.25,2.12,10.25,3.25,0.32,0.11,0.35,1.75,0.7,5.5,1.67,1.0,2.67,1.5,2.5,27.17,3.0,15.0,4.17,0.28,0.1,0.36,2.17,0.48,4.17,2024
213,de Union Berlin,es Real Madrid,2,3,es Real Madrid,1.0,0.67,1.67,1.0,1.67,16.83,1.67,9.5,3.33,0.35,0.11,0.3,1.67,0.66,4.83,2.12,1.87,4.0,2.12,4.0,34.75,4.12,18.62,6.0,0.32,0.11,0.35,1.0,0.8,4.34,2024
214,de RB Leipzig,ch Young Boys,2,1,de RB Leipzig,1.75,1.62,3.38,1.75,3.38,27.87,3.38,15.5,5.12,0.33,0.11,0.34,1.5,0.6,3.75,1.0,0.83,1.83,0.83,1.67,20.0,1.83,12.17,3.5,0.29,0.07,0.24,2.17,0.75,7.33,2024
215,rs Red Star,eng Manchester City,2,3,eng Manchester City,1.0,0.83,1.83,1.0,1.83,23.67,1.67,13.83,4.5,0.33,0.07,0.22,2.5,0.71,7.5,3.0,2.25,5.25,2.62,4.87,39.0,5.63,21.0,8.0,0.38,0.13,0.33,1.13,0.53,2.38,2024
216,eng Newcastle Utd,it Milan,1,2,it Milan,1.0,0.83,1.83,1.0,1.83,17.83,1.67,10.33,4.17,0.4,0.1,0.24,1.17,0.81,5.83,0.83,0.83,1.67,0.83,1.67,29.17,1.5,15.67,4.5,0.29,0.05,0.19,1.33,0.74,4.5,2024
217,pt Porto,ua Shakhtar,5,3,pt Porto,2.29,1.71,4.0,2.14,3.86,23.71,3.57,13.29,6.0,0.45,0.16,0.36,1.14,0.67,3.37,1.5,1.17,2.67,1.5,2.67,19.17,2.67,11.5,4.33,0.38,0.13,0.35,2.0,0.68,6.17,2024
218,sct Celtic,nl Feyenoord,2,1,sct Celtic,0.83,0.67,1.5,0.67,1.33,12.5,1.67,7.67,3.67,0.48,0.09,0.18,2.5,0.6,6.33,1.33,0.83,2.17,1.33,2.17,26.0,2.33,15.0,5.0,0.33,0.09,0.27,1.67,0.62,3.5,2024
219,de Dortmund,fr Paris S-G,1,1,empate,1.14,1.0,2.14,1.0,2.0,23.0,2.14,13.0,4.43,0.34,0.08,0.23,0.71,0.89,4.13,1.62,1.13,2.75,1.37,2.5,28.75,2.5,16.12,5.12,0.32,0.09,0.27,1.13,0.75,4.5,2024
220,be Antwerp,es Barcelona,3,2,be Antwerp,1.0,0.67,1.67,1.0,1.67,16.5,1.33,9.17,3.5,0.38,0.11,0.29,2.83,0.56,6.0,1.71,1.71,3.43,1.71,3.43,27.29,3.0,16.0,5.14,0.32,0.11,0.33,1.0,0.68,3.25,2024
221,es Atlético Madrid,it Lazio,2,0,es Atlético Madrid,2.14,1.29,3.43,2.14,3.43,23.86,3.14,12.71,4.43,0.35,0.17,0.48,1.0,0.77,4.34,1.0,0.62,1.62,0.75,1.37,20.62,1.75,11.37,3.25,0.29,0.07,0.23,1.25,0.68,3.88,2024
